,0
0,Colorado
1,Connecticut
2,Delaware
3,Florida
4,Georgia
5,Idaho
6,Illinois
7,Indiana
8,Iowa
9,Kansas
10,Kentucky
11,Louisiana
12,Maine
13,Maryland
14,Massachusetts
15,Michigan
16,Mississippi
17,Montana
18,Nebraska
19,Nevada
20,New Hampshire
21,New Mexico
22,North Carolina
23,North Dakota
24,Ohio
25,Oklahoma
26,Oregon
27,Rhode Island
28,South Carolina
29,South Dakota
30,Tennessee
31,Texas
32,Utah
33,Vermont
34,Virginia
35,Washington
36,West Virginia
37,Wyoming
